Any calendari,Data,Ajuntament o nucli municipal ,Codi municipal,Codi municipi INE,Pedania,Festiu
2012,08/10/2012,Abella de la Conca,25001000,25001,000,Festa local
2012,28/05/2012,Abella de la Conca,25001000,25001,000,Festa local
2013,20/05/2013,Abella de la Conca,25001000,25001,000,Festa local
2013,07/10/2013,Abella de la Conca,25001000,25001,000,Festa local
2014,06/10/2014,Abella de la Conca,25001000,25001,000,Festa local
2014,02/06/2014,Abella de la Conca,25001000,25001,000,Festa local
2015,05/10/2015,Abella de la Conca,25001000,25001,000,Festa local
2015,25/05/2015,Abella de la Conca,25001000,25001,000,Festa local
2016,03/10/2016,Abella de la Conca,25001000,25001,000,Festa local
2016,14/05/2016,Abella de la Conca,25001000,25001,000,Festa local
2017,05/06/2017,Abella de la Conca,25001000,25001,000,Festa local
2017,02/10/2017,Abella de la Conca,25001000,25001,000,Festa local
2018,21/05/2018,Abella de la Conca,25001000,25001,000,Festa local
2018,05/10/2018,Abella de la Conca,25001000,25001,000,Festa local
2012,29/06/2012,Abrera,08001000,08001,000,Festa local
2012,28/05/2012,Abrera,08001000,08001,000,Festa local
2013,29/06/2013,Abrera,08001000,08001,000,Festa local
2013,20/05/2013,Abrera,08001000,08001,000,Festa local
2014,27/06/2014,Abrera,08001000,08001,000,Festa local
2014,09/06/2014,Abrera,08001000,08001,000,Festa local
2015,29/06/2015,Abrera,08001000,08001,000,Festa local
2015,26/06/2015,Abrera,08001000,08001,000,Festa local
2016,31/10/2016,Abrera,08001000,08001,000,Festa local
2016,29/06/2016,Abrera,08001000,08001,000,Festa local
2017,05/06/2017,Abrera,08001000,08001,000,Festa local
2017,29/06/2017,Abrera,08001000,08001,000,Festa local
2018,29/06/2018,Abrera,08001000,08001,000,Festa local
2018,21/05/2018,Abrera,08001000,08001,000,Festa local
2012,12/11/2012,Adraén,25909001,25909,001,Festa local
2012,06/08/2012,Adraén,25909001,25909,001,Festa local
2013,11/11/2013,Adraén,25909001,25909,001,Festa local
2013,05/08/2013,Adraén,25909001,25909,001,Festa local
2014,10/11/2014,Adraén,25909001,25909,001,Festa local
2014,04/08/2014,Adraén,25909001,25909,001,Festa local
2015,05/08/2015,Adraén,25909001,25909,001,Festa local
2015,11/11/2015,Adraén,25909001,25909,001,Festa local
2016,05/08/2016,Adraén,25909001,25909,001,Festa local
2016,11/11/2016,Adraén,25909001,25909,001,Festa local
2017,07/08/2017,Adraén,25909001,25909,001,Festa local
2017,13/11/2017,Adraén,25909001,25909,001,Festa local
2018,12/11/2018,Adraén,25909001,25909,001,Festa local
2018,13/08/2018,Adraén,25909001,25909,001,Festa local
2012,02/07/2012,Adrall,25185001,25185,001,Festa local
2012,02/02/2012,Adrall,25185001,25185,001,Festa local
2013,08/07/2013,Adrall,25185001,25185,001,Festa local
2013,02/02/2013,Adrall,25185001,25185,001,Festa local
2014,01/09/2014,Adrall,25185001,25185,001,Festa local
2014,07/07/2014,Adrall,25185001,25185,001,Festa local
2015,06/07/2015,Adrall,25185001,25185,001,Festa local
2015,01/09/2015,Adrall,25185001,25185,001,Festa local
2016,01/07/2016,Adrall,25185001,25185,001,Festa local
2016,01/09/2016,Adrall,25185001,25185,001,Festa local
2017,01/09/2017,Adrall,25185001,25185,001,Festa local
2017,30/06/2017,Adrall,25185001,25185,001,Festa local
