Código;Nombre;Dirección;C.P.;Municipio;Pedanía;Teléfono;Fax;Email;URL Real;URL Corta;Latitud;Longitud;Descripción;Categoría;Foto 1;Foto 2;Foto 3;Foto 4;Foto 5;Foto 6;Foto 7;Foto 8;Foto 9;Foto 10;Foto 11;Foto 12;Foto 13;Foto 14;Foto 15;Foto 16;Foto 17
8944;Archena - Oficina Municipal de Turismo;Avenida Río Segura, 10 - Museo de Archena;30600;Archena;ARCHENA;626 241 884;;museo.archena@gmail.com;www.archena.es;;4220446;649273;;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/oficinas-turismo/recurso-1-8944-2p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/oficinas-turismo/recurso-1-8944-1p_g.jpg;;;;;;;;;;;;;;;
5450;Auroros de Murcia;C/ Mayor, 24 ;30162;Murcia;SANTA CRUZ;968 81 29 01;;secretario@auroros.eu;www.auroros.eu;;;;A alabar a la Madre de Dios. A eso se dedicaban los conocidos como 'Auroros' entre los siglos XVIII y XIX. Se trata de miembros de hermandades o cuadrillas que se dedicaban a cantar o a alabar a la Madre de Dios entre la noche y el día. Los Auroros son los continuadores de una tradición religiosa-folclórica que consistía en salir en procesión de noche o con las primeras luces del día haciendo replicar campanas y entonando cánticos religiosos. A esta tradición Díaz Cassou la denominó 'el alma de Murcia'.;Otras;;;;;;;;;;;;;;;;;
6354;Auto de Reyes Magos;Plaza de la Iglesia;30859;Aledo;;968484422;968484423;empleo@aledo.es;;;-1.573220;37.791818;<p>Tal y como reza en el libreto original del texto del Auto de Reyes Magos de Aledo, cada ma&ntilde,ana del 6 de Enero, los tres Reyes Magos procedentes de tres puntos distintos del pueblo se encuentran en la Plaza de la Diputaci&oacute,n de la Villa. Este Auto de Reyes viene celebr&aacute,ndose cada 6 de enero desde 1788, a&ntilde,o de su creaci&oacute,n.</p><p>En los proleg&oacute,menos de este acto, la Cuadrilla de Aledo, con los sones de sus t&iacute,picas y afamadas Marchas de Pascua, recoge al ni&ntilde,o que representa al &Aacute,ngel que porta la estrella que ha de guiar a los Reyes Magos. Una vez con el &Aacute,ngel, se dirigen hasta la Plaza de la Diputaci&oacute,n, donde a las 10:30 horas, al comp&aacute,s de tres cohetes lanzados al cielo, comenzar&aacute,n a intervenir los Reyes Magos que protagonizan el Auto.</p><p>Tras producirse el encuentro, decidir&aacute,n estos adentrarse en las estrechas calles en busca de Jes&uacute,s reci&eacute,n nacido, al que ans&iacute,an encontrar. Un centuri&oacute,n del palacio de Herodes, habr&aacute, de conducirlos hasta la Corte del Rey, donde dialogar&aacute,n ambas partes para encontrar a Jes&uacute,s con diferentes pretensiones.</p><p>Terminado el di&aacute,logo entre Herodes y los Reyes Magos, estos caminan hacia la iglesia, donde en su pesebre se encuentran al ni&ntilde,o que quieren adorar. Antes de que los Reyes de Oriente entren en el templo para ofrecer sus tesoros a Jes&uacute,s, Herodes, ya despojado de sus atuendos y atrezo, lanza sus <em>&quot,bombas&quot,</em> a los presentes. Las bombas son versos a modo de quintillas, a trav&eacute,s de los que se da un repaso sat&iacute,rico e ir&oacute,nico a lo acontecido durante el a&ntilde,o tanto a nivel local, regional como nacional.</p><p>&nbsp,Una vez <em>&quot,lanzadas las bombas&quot,</em> por el Rey Herodes, se celebra la Santa Misa donde los Reyes Magos postrados ante el ni&ntilde,o reci&eacute,n nacido ofrecen Oro, Incienso y Mirra.</p><p>Tras la celebraci&oacute,n de la eucarist&iacute,a, la Cuadrilla de Aledo, se traslada hasta <em>&quot,Las Cuatro esquinas&quot,, </em>donde los guiones de la misma, improvisan a los presentes sus aguilandos, intentando recaudar alg&uacute,n dinero para sufragar la fiesta, que los espectadores ofrecen a cambio de sus coplas dedicadas.</p><p>Ya sobre las 4:30 de la tarde, en el lugar conocido como <em>&quot,El Rancho&quot,</em>, se celebra el afamado <em>&quot,Baile de Pujas&quot,</em>, acto singular que tiene lugar s&oacute,lo este d&iacute,a, interpretando la Cuadrilla de Aledo bailes sueltos como parrandas, malague&ntilde,as, jotas...as&iacute, como bailes agarrados, mazurcas, vals, pasodobles...etc. El baile est&aacute, dirigido por los actores que interpretan los tres Reyes Magos, pujando los asistentes con el fin de que bailen los mismos pujadores o sus familiares, amigos... prolong&aacute,ndose hasta bien entrada la noche.</p><p>&nbsp,</p>;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-6354-1p_g.jpg;;;;;;;;;;;;;;;;
460;Bando de la Huerta;;;Murcia;MURCIA;968 35 86 00;;;www.turismodemurcia.es;;;;<p>Si hace 150 a&ntilde,os surgi&oacute, el Bando de la Huerta para divertir a las clases acomodadas, ahora esos festejos son seguidos por miles de personas de todo tipo de clases. Esta fiesta comienza justo el primer martes despu&eacute,s de Semana Santa y es el punto de inflexi&oacute,n entre la Semana Santa y las Fiestas de Primavera. Las fiestas empiezan con una tradicional ofrenda floral a la Virgen en la Catedral de Murcia. Decenas de murcianos acuden con sus mejores galas huertanas a rendir honores a la imagen y la acompa&ntilde,an durante una cabalgata por las calles de la ciudad. En el desfile participan distintas carrozas que se encargan de ofrecer a los espectadores que prueben los manjares de la huerta murciana.</p><p><strong>FECHA DE DATACI&Oacute,N:</strong> 1855</p>;Interés Turístico Internacional;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-460-1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-460-2_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_460_3_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_460_4_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_460_10_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_460_6_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_460_7_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_460_8_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_460_9_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_460_5_g.jpg;;;;;;;
5451;BELÉN VIVIENTE (Asociación de Belenístas de El Raal);Vereda de la Torre, 37;30139;Murcia;EL RAAL ;;;;;;;;La cooperación de más de un centenar de vecinos ha dado lugar a este original belén viviente. Se trata de un belén típico huertano en el que cada  uno representa un papel que está ligado con las tradiciones de la época. Objetos y animales se suman para crear un Nacimiento espectacular y muy original. ;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-5451-1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-5451-4_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-5451-3_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-5451-2_g.jpg;;;;;;;;;;;;;
6482;Bullas - Oficina  Municipal de Turismo;Avenida de Murcia, 75;30180;Bullas;;968 652 244;;turismo@bullas.es;http://rvbullas.es/rutadelvino/portfolio/oficina-de-turismo-de-bullas/;;-1.664544;38.051179;;;;;;;;;;;;;;;;;;;
6101;Bullas - Oficina  Municipal de Turismo;Avenida de Murcia, 75;30180;Bullas;;968 652 244;;turismo@bullas.es;http://rvbullas.es/rutadelvino/portfolio/oficina-de-turismo-de-bullas/;;-1.664544;38.051179;;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/oficinas-turismo/recurso-1-6101-1_g.jpg;;;;;;;;;;;;;;;;
454;Carnaval;;30880;Águilas;AGUILAS;968493285;;;http://www.carnavaldeaguilas.org/;http://www.carnavaldeaguilas.org/;;;<p>Lo m&aacute,s interesante del calendario festivo de &Aacute,guilas es la celebraci&oacute,n anual de &laquo,Las Fiestas de Carnaval&raquo,, declaradas de INTER&Eacute,S TUR&Iacute,STICO INTERNACIONAL, y que tienen lugar inmediatamente antes de la Cuaresma de Semana Santa (Febrero-Marzo). Elementos tradicionales del Carnaval son los &laquo,Cascarones&raquo, de confetti&nbsp, y &laquo,La Cuerva&raquo,, bebida t&iacute,pica carnavalera, a base de vino y frutas.</p><p>Desfiles y Carnaval de la Noche:</p><p>Dentro de la &eacute,poca moderna, el Carnaval de &Aacute,guilas ha ido evolucionando, presentando dos muestras diferenciadas del mismo: el &quot,Carnaval de d&iacute,a&quot,, donde impera el lujo, la belleza, la espectacularidad y el colorido de&nbsp, las pe&ntilde,as y de sus carrozas, y el &quot,Carnaval de la noche&quot, con la espontaneidad, el gracejo, y la picard&iacute,a popular. Los desfiles se celebran el Domingo, martes y Viernes de Carnaval y el S&aacute,bado de Pi&ntilde,ata (siguiente al Carnaval). Aunque se pueden ver m&aacute,scaras durante todas las noches del Carnaval, es el lunes cuando el &quot,Carnaval de la noche&quot, se viste con sus mejores galas, dando paso a la incansable e hilarante imaginaci&oacute,n de los aguile&ntilde,os, que contagian de su alegr&iacute,a y animaci&oacute,n a todos los visitantes.</p><p>Concurso de trajes de Papel:</p><p>Como parte de la fiesta, destaca, cada vez m&aacute,s, el concurso de trajes de papel, que va tomando mayor protagonismo. Por la fragilidad de los materiales con los que se fabrican, estos trajes se presentan en un recinto cerrado donde se puede apreciar con m&aacute,s precisi&oacute,n todos los detalles y materiales con los que se elaboran.</p>;Interés Turístico Internacional;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-454-1p_g.png;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-454-2p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-454-3p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-454-7p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-454-5p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-454-6p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-454-4p_g.jpg;;;;;;;;;;
473;Carnaval;;;Cartagena;;;;;http://www.carnavalcartagena.es;http://www.carnavalcartagena.es;;;<p>En 1981, se recuperaron estas fiestas&nbsp,que, en la actualidad est&aacute,n declaradas de <strong>Inter&eacute,s Tur&iacute,stico Regional</strong> y son una de las m&aacute,s importantes del ciclo festivo local.<br /><br />Durante su celebraci&oacute,n tienen lugar <strong>desfiles, bailes, concurso de disfraces y de chirigotas</strong> que cada a&ntilde,o ven incrementada la participaci&oacute,n en ellos de cartageneros y visitantes.</p><p>Si quieres que te rematen de risa no puedes faltar al <strong>Concurso Regional de Chirigotas</strong>, que se celebra en el Auditorio del Batel.&nbsp,</p><p>El movimiento se convierte en arte durante el <strong>Concurso Regional de Coreograf&iacute,a</strong> en el Pabell&oacute,n Central de Deportes de la ciudad portuaria el primer domingo de carnaval.</p><p>Cartagena, acoge, durante este a&ntilde,o, el <strong>II Concurso Nacional de Drag-Queen</strong> &quot,Ciudad de Cartagena&quot,.&nbsp,</p>;Interés Turístico Regional;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_473_126_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_473_127_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_473_128_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_473_129_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_473_130_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-473-136p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_473_132_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_473_133_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_473_134_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_473_135_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/FIESTAS_1_473_131_g.jpg;;;;;;
6139;CARNAVAL ;;30170;Mula;;968 66 15 01;;turismo@aytomula.es;;;;;<p><strong><strong>Carnaval Infantil Escolar </strong></strong><br />Durante toda la ma&ntilde,ana, los alumnos de los colegios y centros educativos llenar&aacute,n las calles de alegr&iacute,a y color en una gran fiesta que recorrer&aacute, varios puntos de la localidad y culminar&aacute, en el parque Crist&oacute,bal Gabarr&oacute,n en una convivencia entre todos los colegios.</p><p><strong><strong>Fiesta de Carnaval Infantil</strong></strong><strong> </strong><br />Sorteo de Regalos, animaci&oacute,n, m&uacute,sica, etc...</p><p><strong><strong>Gran Desfile de Carnaval.</strong></strong></p><p>Las comparsas carnavaleras estar&aacute,n acompa&ntilde,adas por sus musas y por las figuras de Don Carnal y el Mascar&oacute,n para llenar las calles de Mula con un magnifico espect&aacute,culo de ilusi&oacute,n, ritmo y color</p><p><strong><strong>Martes de revent&oacute,n.</strong></strong></p><p><em>Bue&ntilde,uelos con chocolate para despedir el carnaval y dar paso a la cuaresma</em></p><p>&nbsp,</p>;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-6139-2p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/fiestas/recurso-1-6139-1p_g.jpg;;;;;;;;;;;;;;;
