DENOMINACIÓN;LOCALIDAD;PROVINCIA;Regional;Nacional;Internacional
Vitor a San Pedro Bautista;San Esteban del Valle;Ávila;1991;;
Semana Santa;Ávila;Ávila;1993;2005;2014
Romería de Nuestra Señora de Chilla;Candeleda;Ávila;1996;;
Romería del Cristo de la Luz;Lanzahita;Ávila;2001;;
Romería de San Pedro de Alcántara;Arenas de San Pedro;Ávila;2003;;
Los Carnavales;Cebreros;Ávila;2009;;
La procesión de los romances;Navaluenga;Ávila;2009;;
Jornadas Medievales;Ávila;Ávila;2017;;
Carnaval de Navalosa, Cucurrumachos y Domingo Gordo;Navalosa;Ávila;2022;;
"Fiestas de San Pedro y San Pablo ""Día de las Peñas""";Burgos;Burgos;1996;;
Fiesta del Colacho;Castrillo de Murcia;Burgos;1996;;
Fiestas de San Juan del Monte;Miranda de Ebro;Burgos;1996;2015;
Danza del Escarrete;Poza de la Sal;Burgos;1998;;
Fiesta de la Tabera;Briviesca;Burgos;2000;;
Fiesta del Capitán;Frías;Burgos;2000;;
Romería de San Bernabé;Merindad de Sotoscueva;Burgos;2000;;
Romería de Nuestra Señora de las Nieves;Las Machorras;Burgos;2001;;
Fiesta de los Jefes;Santo Domingo de Silos;Burgos;2003;;
El Curpillos;Burgos;Burgos ;2004;;
La Semana Santa;Aranda de Duero;Burgos;2005;;
Semana Santa;Burgos;Burgos;2006;2013;
El Cronicón;Oña;Burgos;2008;;
Romería de la Virgen de Castro;Caleruega;Burgos;2010;;
La batalla de Atapuerca;Atapuerca;Burgos;2017;;
Fiesta a Baco ;Baños de Valdearados;Burgos;2020;;
Pasión Viviente ;Covarrubias ;Burgos;2022;;
Los Titos de San Antón;Burgos;Burgos;2022;;
Ruta del Emperador Carlos V ;Medina de Pomar;Burgos;2022;;
Cabalgata de Reyes y Belén Viviente ;Torregalindo ;Burgos;2022;;
Corpus Christi;Laguna de Negrillos;León;1991;;
La Ronda y La Procesión de los Pasos;León;León;1993;1998;2002(Men.Es.)
Semana Santa;Astorga;León;1997;2011;
Justas Medievales del Passo Honrosso;Hospital de Órbigo;León;1998;;
