fecha,descripcion,ambito,id_municipio,lugar
06/01/23,Epifanía do Señor (Día de Reis),estatal,,
06/04/23,Xoves Santo,autonómico,,
07/04/23,Venres Santo,estatal,,
01/05/23,Día do Traballo,estatal,,
17/05/23,Día das Letras Galegas,autonómico,,
25/07/23,Día Nacional de Galicia,autonómico,,
15/08/23,Asunción da Virxe,estatal,,
12/10/23,Festa Nacional de España,estatal,,
01/11/23,Todos os Santos,estatal,,
06/12/23,Día da Constitución Española,estatal,,
08/12/23,Inmaculada Concepción,estatal,,
25/12/23,Natividade do Señor,estatal,,
21/02/23,Martes de Entroido,municipal,15001,Abegondo
25/04/23,festa de San Marcos,municipal,15001,Abegondo
10/04/23,Luns de Pascua,municipal,15002,Ames
18/05/23,festa da Ascensión,municipal,15002,Ames
21/02/23,Martes de Entroido,municipal,15003,Aranga
03/05/23,festa da Santa Cruz,municipal,15003,Aranga
22/02/23,Mércores de Cinza,municipal,15004,Ares
30/05/23,Voto de Chanteiro,municipal,15004,Ares
21/02/23,Martes de Entroido,municipal,15005,Arteixo
26/07/23,festas de Santiago Apóstolo,municipal,15005,Arteixo
10/04/23,Luns de Pascua,municipal,15006,Arzúa
17/07/23,festa local de Arzúa,municipal,15006,Arzúa
21/02/23,Martes de Entroido,municipal,15007,Baña (A)
08/09/23,Virxe do Bo Suceso,municipal,15007,Baña (A)
21/02/23,Martes de Entroido,municipal,15008,Bergondo
16/08/23,festa local de Bergondo,municipal,15008,Bergondo
21/02/23,Martes de Entroido,municipal,15009,Betanzos
16/08/23,festa de San Roque,municipal,15009,Betanzos
21/02/23,Martes de Entroido,municipal,15010,Boimorto
04/09/23,festas do Rosario,municipal,15010,Boimorto
21/02/23,Martes de Entroido,municipal,15011,Boiro
31/08/23,festividade de San Ramón,municipal,15011,Boiro
21/02/23,Martes de Entroido,municipal,15012,Boqueixón
18/05/23,Día da Ascensión,municipal,15012,Boqueixón
18/05/23,Día da Ascensión,municipal,15013,Brión
27/09/23,festa de Santa Minia,municipal,15013,Brión
21/02/23,Martes de Entroido,municipal,15014,Cabana de Bergantiños
01/08/23,festa de San Fins,municipal,15014,Cabana de Bergantiños
21/02/23,Martes de Entroido,municipal,15015,Cabanas
30/11/23,festa de Santo André,municipal,15015,Cabanas
21/02/23,Martes de Entroido,municipal,15016,Camariñas
17/07/23,festas da Virxe do Carme,municipal,15016,Camariñas
21/02/23,Martes de Entroido,municipal,15017,Cambre
16/08/23,festa local de Cambre,municipal,15017,Cambre
21/02/23,Martes de Entroido,municipal,15018,Capela (A)
16/08/23,festa patronal da Capela,municipal,15018,Capela (A)
21/02/23,Martes de Entroido,municipal,15019,Carballo
24/06/23,festa patronal de San Xoán Bautista,municipal,15019,Carballo
10/04/23,festa local de Carnota,municipal,15020,Carnota
13/10/23,festa local de Carnota,municipal,15020,Carnota
21/02/23,Martes de Entroido,municipal,15021,Carral
08/09/23,festa da Virxe do Socorro,municipal,15021,Carral
13/06/23,festa de Santo Antonio,municipal,15022,Cedeira
26/07/23,festa de Santa Ana,municipal,15022,Cedeira
16/06/23,festa de Santo Adrián,municipal,15023,Cee
16/08/23,festa de San Roque,municipal,15023,Cee
21/02/23,Martes de Entroido,municipal,15024,Cerceda
23/06/23,Día da Cachela de San Xoán,municipal,15024,Cerceda
21/02/23,Martes de Entroido,municipal,15025,Cerdido
03/07/23,festa local de Cerdido,municipal,15025,Cerdido
21/02/23,Martes de Entroido,municipal,15027,Coirós
08/03/23,Día Internacional da Muller,municipal,15027,Coirós
25/04/23,festa de San Marcos,municipal,15028,Corcubión
29/06/23,festa de San Pedro,municipal,15028,Corcubión
21/02/23,Martes de Entroido,municipal,15029,Coristanco
19/05/23,festa de Santo Antonio e Santa Ana,municipal,15029,Coristanco
21/02/23,Martes de Entroido,municipal,15030,Coruña (A)
24/06/23,festa de San Xoán,municipal,15030,Coruña (A)
21/02/23,Martes de Entroido,municipal,15031,Culleredo
24/07/23,festa local de Culleredo,municipal,15031,Culleredo
21/02/23,Martes de Entroido,municipal,15032,Curtis
08/09/23,Día da Virxe dos Remedios,municipal,15032,Curtis
10/04/23,Luns de Pascua,municipal,15033,Dodro
11/09/23,festas de Laíño (Virxe do Leite e do Bo Parto),municipal,15033,Dodro
07/08/23,festa de San Mamede de Salgueiros,municipal,15034,Dumbría
08/09/23,festa da Virxe das Neves,municipal,15034,Dumbría
22/02/23,Mércores de Cinza,municipal,15035,Fene
07/08/23,festa de San Salvador,municipal,15035,Fene
21/02/23,Martes de Entroido,municipal,15036,Ferrol
10/04/23,Luns de Pascua/Nosa Señora do Chamorro,municipal,15036,Ferrol
10/04/23,Luns de Pascua,municipal,15037,Fisterra
08/09/23,festa local de Fisterra,municipal,15037,Fisterra
21/02/23,Martes de Entroido,municipal,15038,Frades
29/09/23,festa de San Miguel,municipal,15038,Frades
21/02/23,Martes de Entroido,municipal,15039,Irixoa
10/08/23,San Lourenzo,municipal,15039,Irixoa
16/08/23,Día de San Roque,municipal,15040,Laxe
17/08/23,Día do Carme,municipal,15040,Laxe
21/02/23,Martes de Entroido,municipal,15041,Laracha (A)
08/09/23,festa da Virxe dos Milagres de Caión,municipal,15041,Laracha (A)
25/04/23,festa de San Marcos,municipal,15042,Lousame
10/08/23,festa de San Lourenzo,municipal,15042,Lousame
21/02/23,Martes de Entroido,municipal,15043,Malpica de Bergantiños
25/08/23,festa do Mar,municipal,15043,Malpica de Bergantiños
21/02/23,Martes de Entroido,municipal,15044,Mañón
11/09/23,festa da Patroa,municipal,15044,Mañón
21/02/23,Martes de Entroido,municipal,15045,Mazaricos
07/12/23,festa local de Mazaricos,municipal,15045,Mazaricos
10/04/23,Luns de Pascua,municipal,15046,Melide
29/06/23,Día de San Pedro,municipal,15046,Melide
21/02/23,Martes de Entroido,municipal,15047,Mesía
15/05/23,festa de San Cidre,municipal,15047,Mesía
21/02/23,Martes de Entroido,municipal,15048,Miño
29/06/23,Día de San Pedro,municipal,15048,Miño
21/02/23,Martes de Entroido,municipal,15049,Moeche
14/08/23,festa local de Moeche,municipal,15049,Moeche
20/02/23,Luns de Entroido,municipal,15050,Monfero
21/02/23,Martes de Entroido,municipal,15050,Monfero
07/01/23,festa local de Mugardos,municipal,15051,Mugardos
30/05/23,Voto de Chanteiro,municipal,15051,Mugardos
10/04/23,Luns de Pascua,municipal,15052,Muxía
11/09/23,Luns da Barca,municipal,15052,Muxía
24/06/23,festa de San Xoán,municipal,15053,Muros
29/06/23,festa de San Pedro,municipal,15053,Muros
21/02/23,Martes de Entroido,municipal,15054,Narón
23/11/23,Día de Narón,municipal,15054,Narón
21/02/23,Martes de Entroido,municipal,15055,Neda
08/09/23,festa local de Neda,municipal,15055,Neda
07/07/23,festa de San Cristovo,municipal,15056,Negreira
18/09/23,festa de Santa Margarita,municipal,15056,Negreira
24/04/23,festa de San Marcos,municipal,15057,Noia
24/08/23,festa de San Bartolomeu,municipal,15057,Noia
21/02/23,Martes de Entroido,municipal,15058,Oleiros
10/04/23,Luns de Pascua,municipal,15058,Oleiros
21/02/23,Martes de Entroido,municipal,15059,Ordes
16/08/23,festa local de Ordes,municipal,15059,Ordes
21/02/23,Martes de Entroido,municipal,15060,Oroso
16/08/23,festa de San Roque,municipal,15060,Oroso
21/02/23,Martes de Entroido,municipal,15061,Ortigueira
29/07/23,Día de Santa Marta,municipal,15061,Ortigueira
22/02/23,Mércores de Cinza,municipal,15062,Outes
29/09/23,festividade de San Campio,municipal,15062,Outes
21/02/23,Martes de Entroido,municipal,15064,Paderne
16/08/23,festa local de Paderne,municipal,15064,Paderne
10/04/23,Luns de Pascua,municipal,15065,Padrón
06/05/23,festa de San Xoán do Raio,municipal,15065,Padrón
18/05/23,festa da Ascensión do Señor,municipal,15066,Pino (O)
29/06/23,festa de San Pedro,municipal,15066,Pino (O)
21/08/23,O Carme dos Pincheiros,municipal,15067,Pobra do Caramiñal (A)
18/09/23,O Luns do Nazareno,municipal,15067,Pobra do Caramiñal (A)
17/07/23,festa do Carme,municipal,15068,Ponteceso
11/09/23,Luns da Barquiña,municipal,15068,Ponteceso
08/09/23,festa das Peras,municipal,15069,Pontedeume
29/09/23,festa de San Miguel de Breamo,municipal,15069,Pontedeume
21/02/23,Martes de Entroido,municipal,15070,As Pontes de García Rodríguez
17/07/23,festa do Carme,municipal,15070,As Pontes de García Rodríguez
20/02/23,Luns de Entroido,municipal,15071,Porto do Son
08/09/23,festa local de Porto do Son,municipal,15071,Porto do Son
14/07/23,festa do Carme,municipal,15072,Rianxo
15/09/23,Venres de Guadalupe,municipal,15072,Rianxo
24/07/23,festividade da Dorna,municipal,15073,Ribeira
12/09/23,Santa Uxía de Ribeira,municipal,15073,Ribeira
10/04/23,Luns de Pascua,municipal,15074,Rois
15/05/23,festa de San Isidro Labrador,municipal,15074,Rois
21/02/23,Martes de Entroido,municipal,15075,Sada
16/08/23,festa de San Roque,municipal,15075,Sada
21/02/23,Martes de Entroido,municipal,15076,San Sadurniño
03/07/23,festa local de San Sadurniño,municipal,15076,San Sadurniño
29/06/23,festa de San Pedro,municipal,15077,Santa Comba
30/06/23,festa de Santo Antonio,municipal,15077,Santa Comba
18/05/23,Día da Ascensión,municipal,15078,Santiago de Compostela
16/08/23,Día de San Roque,municipal,15078,Santiago de Compostela
13/06/23,festa de Santo Antonio,municipal,15079,Santiso
15/09/23,festa da Virxe das Dores,municipal,15079,Santiso
21/02/23,Martes de Entroido,municipal,15080,Sobrado
29/06/23,festa de San Pedro,municipal,15080,Sobrado
21/02/23,Martes de Entroido,municipal,15081,Somozas (As)
24/07/23,festa local,municipal,15081,Somozas (As)
21/02/23,Martes de Entroido,municipal,15082,Teo
18/05/23,Día da Ascensión,municipal,15082,Teo
21/02/23,Martes de Entroido,municipal,15083,Toques
15/05/23,festa de San Cidre,municipal,15083,Toques
21/02/23,Martes de Entroido,municipal,15084,Tordoia
15/05/23,festa de San Isidro Labrador,municipal,15084,Tordoia
21/02/23,Martes de Entroido,municipal,15085,Touro
10/04/23,Luns de Pascua,municipal,15085,Touro
21/02/23,Martes de Entroido,municipal,15086,Trazo
21/09/23,San Mateo,municipal,15086,Trazo
21/02/23,Martes de Entroido,municipal,15087,Valdoviño
17/08/23,Día de San Mamede,municipal,15087,Valdoviño
21/02/23,Martes de Entroido,municipal,15088,Val do Dubra
04/08/23,festa do Emigrante,municipal,15088,Val do Dubra
18/05/23,festa da Ascensión,municipal,15089,Vedra
18/09/23,festividade do Patio,municipal,15089,Vedra
