Provincia;Municipio;INE;Núcleo;INE Extendido;Fecha fiesta;Nombre fiesta
Ávila;ALBORNOS;50052;;;2020-09-30;San Miguel
Ávila;ALDEANUEVA DE SANTA CRUZ;50071;;;2020-09-14;
Ávila;ALDEHUELA (LA);50104;;;2020-09-09;
Ávila;ARENAS DE SAN PEDRO;50147;;;2020-09-08;Virgen del Pilar
Ávila;ARENAS DE SAN PEDRO;50147;;;2020-10-19;San Pedro de Alcántara
Ávila;AREVALILLO;50150;;;2020-08-28;San Cristóbal
Ávila;BARCO DE ÁVILA (EL);50219;;;2020-08-12;San Pedro del Barco
Ávila;BARROMÁN;50230;;;2020-05-15;San Isidro
Ávila;BECEDAS;50245;;;2020-08-28;
Ávila;BECEDILLAS;50258;;;2020-05-04;
Ávila;BERNUY-ZAPARDIEL;50296;;;2020-07-18;San Martín
Ávila;BERROCALEJO DE ARAGONA;50300;;;2020-08-21;
Ávila;BERROCALEJO DE ARAGONA;50300;;;2020-08-22;
Ávila;BLASCOMILLÁN;50338;;;2020-11-12;
Ávila;BOHODÓN (EL);50369;;;2020-08-17;
Ávila;BOHOYO;50375;;;2020-08-14;
Ávila;BULARROS;50408;;;2020-09-27;San Cosme y San Damián
Ávila;BURGOHONDO;50415;;;2020-09-21;Cristo de la Luz
Ávila;BURGOHONDO;50415;;;2020-09-22;Cristo de la Luz
Ávila;CABEZAS DE ALAMBRE;50420;;;2020-05-02;San Segundo
Ávila;CABEZAS DE ALAMBRE;50420;;;2020-07-25;Santiago Apóstol
Ávila;CABEZAS DEL VILLAR;50441;;;2020-09-08;Ntra. Sra. Del Villar
Ávila;CABIZUELA;50454;;;2020-07-27;San Cristóbal
Ávila;CANALES;50467;;;2020-07-27;San Cristóbal
Ávila;CANDELEDA;50473;;;2020-09-21;Lunes de Vela
Ávila;CANTIVEROS;50489;;;2020-09-29;San Miguel
Ávila;CASAS DEL PUERTO;50527;;;2020-02-03;San Blas
Ávila;CASTELLANOS DE ZAPARDIEL;50564;;;2020-07-16;Ntra. Sra. Del Carmen
Ávila;CASTELLANOS DE ZAPARDIEL;50564;;;2020-09-08;Ntra. Sra. Del Castillo
Ávila;CEBREROS;50570;;;2020-08-14;
Ávila;CEPEDA LA MORA;50586;;;2020-08-14;
Ávila;CHAMARTÍN;50678;;;2020-04-25;
Ávila;CONSTANZANA;50646;JARAÍCES;5064000200;2020-05-23;San Baudelio
Ávila;CUEVAS DEL VALLE;50662;;;2020-07-13;
Ávila;DIEGO DEL CARPIO;59035;;;2020-06-24;San Juan
Ávila;DONJIMENO;50697;;;2020-01-23;San Ildefonso
Ávila;DONJIMENO;50697;;;2020-07-17;Virgen del Carmen
Ávila;DONVIDAS;50701;;;2020-07-27;San Cristóbal
Ávila;ESPINOSA DE LOS CABALLEROS;50723;;;2020-11-30;San Andrés
Ávila;FLORES DE ÁVILA;50739;;;2020-03-19;San José
Ávila;FLORES DE ÁVILA;50739;;;2020-05-15;San Isidro
Ávila;FRESNO (EL);50760;;;2020-06-08;Santísima Trinidad
Ávila;FUENTE EL SAÚZ;50776;;;2020-06-13;San Antonio
Ávila;FUENTES DE AÑO;50782;;;2020-07-31;Ntra. Sra. Virgen de la Asunción
Ávila;GARGANTA DEL VILLAR;50816;;;2020-08-17;Ntra. Sra. De la Asunción
Ávila;GEMUÑO;50837;;;2020-07-22;
Ávila;GOTARRENDURA;50874;;;2020-09-29;
Ávila;GRANDES Y SAN MARTÍN;50880;GRANDES;5088000100;2020-05-15;
Ávila;GRANDES Y SAN MARTÍN;50880;SAN MARTÍN;9410004607;2020-05-11;
Ávila;GUISANDO;50893;;;2020-06-29;San Pedro
Ávila;HERNANSANCHO;50929;;;2020-09-28;
Ávila;HERRADÓN DE PINARES;50935;;;2020-06-13;
Ávila;HORCAJADA (LA);50972;;;2020-09-30;
Ávila;HORNILLO (EL);51005;;;2020-12-28;San Juan Evangelista
Ávila;HOYO DE PINARES (EL);51027;;;2020-09-29;San Miguel Arcángel
Ávila;HOYOS DE MIGUEL MUÑOZ;51064;;;2020-08-10;
Ávila;HOYOS DEL ESPINO;51051;;;2020-05-14;La Venerable
Ávila;HURTUMPASCUAL;51070;VIÑEGRA DE LA SIERRA;5107000300;2020-06-23;
Ávila;HURTUMPASCUAL;51070;GAMONAL DE LA SIERRA;5107000100;2020-07-30;
Ávila;LANGA;51099;;;2020-05-15;San Isidro
Ávila;LANZAHÍTA;51103;;;2020-09-08;La Virgen del Prado
Ávila;MADRIGAL DE LAS ALTAS TORRES;51146;;;2020-09-14;Santísimo Cristo de las Injurias
Ávila;MALPARTIDA DE CORNEJA;51162;;;2020-05-15;San Isidro
Ávila;MALPARTIDA DE CORNEJA;51162;;;2020-10-06;Ntra. Sra. Del Rosario
Ávila;MAMBLAS;51178;;;2020-05-25;
Ávila;MARTIHERRERO;51218;;;2020-07-02;Virgen de la Asunción
Ávila;MARTÍNEZ;51223;;;2020-10-15;Santa Teresa
Ávila;MENGAMUÑOZ;51257;;;2020-09-07;Virgen de la Paz
Ávila;MINGORRÍA;51282;;;2020-04-15;Las Aguas
