,AMBITO,COMUNIDAD - MUNICIPIO,FECHA,FIESTA - LOCALIDAD,lat,lng
0,AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,2023-01-02,Lunes siguiente a Año Nuevo,43.333330000000046,-5.999999999999943
1,AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,2023-01-06,Epifanía del Señor,43.333330000000046,-5.999999999999943
2,AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,2023-04-06,Jueves Santo,43.333330000000046,-5.999999999999943
3,AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,2023-04-07,Viernes Santo,43.333330000000046,-5.999999999999943
4,AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,2023-05-01, Fiesta del Trabajo,43.333330000000046,-5.999999999999943
5,AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,2023-08-15,Asunción de la Virgen ,43.333330000000046,-5.999999999999943
6,AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,2023-09-08,Día de Asturias,43.333330000000046,-5.999999999999943
7,AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,2023-10-12,Fiesta Nacional de España,43.333330000000046,-5.999999999999943
8,AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,2023-11-01,Todos los Santos,43.333330000000046,-5.999999999999943
9,AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,2023-12-06,Día de la Constitución Española,43.333330000000046,-5.999999999999943
10,AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,2023-12-08,Inmaculada Concepción,43.333330000000046,-5.999999999999943
11,AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,2023-12-25, Natividad del Señor,43.333330000000046,-5.999999999999943
12,LOCAL,ALLANDE,2023-07-10,Fiesta de San Cristóbal,43.27168000000006,-6.611069999999927
13,LOCAL,ALLANDE,2023-09-11,Día posterior a la fiesta del avellano,43.27168000000006,-6.611069999999927
14,LOCAL,ALLER,2023-11-11,San Martín de Moreda,43.16154000000006,-5.622879999999952
15,LOCAL,ALLER,2023-11-26,El Mercaón de Cabañaquinta,43.16154000000006,-5.622879999999952
16,LOCAL,AMIEVA,2023-06-13,San Antonio en Sames,43.24502000000007,-5.07353999999998
17,LOCAL,AMIEVA,2023-07-25,Festividad de Santiago en Vis,43.24502000000007,-5.07353999999998
18,LOCAL,AVILÉS,2023-04-10,Lunes de Pascua,43.55899000000005,-5.921479999999974
19,LOCAL,AVILÉS,2023-08-20,San Agustín,43.55899000000005,-5.921479999999974
20,LOCAL,BELMONTE DE MIRANDA,2023-05-15,San Isidro,43.280500000000075,-6.219009999999969
21,LOCAL,BELMONTE DE MIRANDA,2023-08-29,San Antonio. La Gira,43.280500000000075,-6.219009999999969
22,LOCAL,BIMENES,2023-10-16,Feries de San Julián,43.32976000000008,-5.566229999999962
