,Any calendari,Data,Ajuntament o nucli municipal ,Codi municipal,Codi municipi INE,Pedania,Festiu,lat,lng
0,2012,08/10/2012,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
1,2012,28/05/2012,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
2,2013,20/05/2013,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
3,2013,07/10/2013,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
4,2014,06/10/2014,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
5,2014,02/06/2014,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
6,2015,05/10/2015,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
7,2015,25/05/2015,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
8,2016,03/10/2016,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
9,2016,14/05/2016,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
10,2017,05/06/2017,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
11,2017,02/10/2017,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
12,2018,21/05/2018,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
13,2018,05/10/2018,Abella de la Conca,25001000,25001,0,Festa local,42.161230000000046,1.0920600000000604
14,2012,29/06/2012,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
15,2012,28/05/2012,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
16,2013,29/06/2013,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
17,2013,20/05/2013,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
18,2014,27/06/2014,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
19,2014,09/06/2014,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
20,2015,29/06/2015,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
21,2015,26/06/2015,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
22,2016,31/10/2016,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
23,2016,29/06/2016,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
24,2017,05/06/2017,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
25,2017,29/06/2017,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
26,2018,29/06/2018,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
27,2018,21/05/2018,Abrera,8001000,8001,0,Festa local,41.51944000000003,1.899340000000052
28,2012,12/11/2012,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
29,2012,06/08/2012,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
30,2013,11/11/2013,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
31,2013,05/08/2013,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
32,2014,10/11/2014,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
33,2014,04/08/2014,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
34,2015,05/08/2015,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
35,2015,11/11/2015,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
36,2016,05/08/2016,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
37,2016,11/11/2016,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
38,2017,07/08/2017,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
39,2017,13/11/2017,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
40,2018,12/11/2018,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
41,2018,13/08/2018,Adraén,25909001,25909,1,Festa local,42.275630000000035,1.5010200000000395
42,2012,02/07/2012,Adrall,25185001,25185,1,Festa local,42.32606000000004,1.3995500000000334
43,2012,02/02/2012,Adrall,25185001,25185,1,Festa local,42.32606000000004,1.3995500000000334
44,2013,08/07/2013,Adrall,25185001,25185,1,Festa local,42.32606000000004,1.3995500000000334
45,2013,02/02/2013,Adrall,25185001,25185,1,Festa local,42.32606000000004,1.3995500000000334
46,2014,01/09/2014,Adrall,25185001,25185,1,Festa local,42.32606000000004,1.3995500000000334
47,2014,07/07/2014,Adrall,25185001,25185,1,Festa local,42.32606000000004,1.3995500000000334
48,2015,06/07/2015,Adrall,25185001,25185,1,Festa local,42.32606000000004,1.3995500000000334
49,2015,01/09/2015,Adrall,25185001,25185,1,Festa local,42.32606000000004,1.3995500000000334
50,2016,01/07/2016,Adrall,25185001,25185,1,Festa local,42.32606000000004,1.3995500000000334
